# binIndex1	binCenter1	binIndex2	binCenter2	count
9	4.55807e-07	3	0.000205799	5.14965e+09
9	4.55807e-07	4	0.000252928	4.91595e+09
9	4.55807e-07	5	0.000310851	4.97564e+09
9	4.55807e-07	6	0.000382039	4.39665e+09
9	4.55807e-07	7	0.000469529	4.20624e+09
9	4.55807e-07	8	0.000577055	4.11347e+09
9	4.55807e-07	9	0.000709206	3.71628e+09
9	4.55807e-07	10	0.00087162	3.34882e+09
9	4.55807e-07	11	0.00107123	2.82711e+09
9	4.55807e-07	12	0.00131655	2.59619e+09
9	4.55807e-07	13	0.00161805	2.37928e+09
9	4.55807e-07	14	0.0019886	2.18847e+09
9	4.55807e-07	15	0.00244401	1.89936e+09
9	4.55807e-07	16	0.0030037	1.57136e+09
9	4.55807e-07	17	0.00369158	1.39688e+09
9	4.55807e-07	18	0.00453698	1.01344e+09
9	4.55807e-07	19	0.00557599	6.71575e+08
9	4.55807e-07	20	0.00685294	5.64242e+08
9	4.55807e-07	21	0.00842232	3.7208e+08
9	4.55807e-07	22	0.0103511	1.9811e+08
9	4.55807e-07	23	0.0127216	9.76664e+07
9	4.55807e-07	24	0.015635	3.2431e+07
9	4.55807e-07	25	0.0192155	7.27122e+06
9	4.55807e-07	26	0.023616	619738
9	4.55807e-07	27	0.0290243	78432.8
9	4.55807e-07	28	0.0356711	0
9	4.55807e-07	29	0.0438401	0
9	4.55807e-07	30	0.0538799	0
9	4.55807e-07	31	0.0662189	0
9	4.55807e-07	32	0.0813836	0
9	4.55807e-07	33	0.100021	0
9	4.55807e-07	34	0.122927	0
9	4.55807e-07	35	0.151078	0
9	4.55807e-07	36	0.185676	0
9	4.55807e-07	37	0.228198	0
9	4.55807e-07	38	0.280457	0
9	4.55807e-07	39	0.344684	0
10	5.34719e-07	0	0.000110861	4.74982e+09
10	5.34719e-07	1	0.000136249	4.60744e+09
10	5.34719e-07	2	0.000167451	4.63978e+09
10	5.34719e-07	3	0.000205799	3.79666e+09
10	5.34719e-07	4	0.000252928	3.86378e+09
10	5.34719e-07	5	0.000310851	3.65155e+09
10	5.34719e-07	6	0.000382039	3.54296e+09
