# hist_val	vel_center	shear_center
5.328758528762289875e-08 1.748673052288317423e-07 1.298695892487976636e-03
6.277851970341614008e-08 1.748673052288317423e-07 1.623058611347917091e-03
6.141978947063909261e-08 1.748673052288317423e-07 2.028434270954636732e-03
1.024900183742524806e-07 1.748673052288317423e-07 2.535056690384226725e-03
1.443488403570902107e-07 1.748673052288317423e-07 3.168213294107543893e-03
1.659106325747745328e-07 1.748673052288317423e-07 3.959507302157582939e-03
2.160199125257257653e-07 1.748673052288317423e-07 4.948435165333612412e-03
2.940335154975199277e-07 1.748673052288317423e-07 6.184357981147564805e-03
4.746729607491636820e-07 1.748673052288317423e-07 7.728965291274075139e-03
7.216174889589630762e-07 1.748673052288317423e-07 9.659354237872657539e-03
1.245721612260156255e-06 1.748673052288317423e-07 1.207187777101895176e-02
6.604430125948092173e-07 1.748673052288317423e-07 1.508695398570625290e-02
2.452744059184134890e-07 1.748673052288317423e-07 1.885507664045917367e-02
2.140108581840028572e-07 1.748673052288317423e-07 2.356432686507902927e-02
2.123518158090469989e-07 1.748673052288317423e-07 2.944976099501883313e-02
1.004078165365651990e-08 1.748673052288317423e-07 3.680514311439994635e-02
9.864118202806970714e-11 1.748673052288317423e-07 4.599760792288207223e-02
0.000000000000000000e+00 1.748673052288317423e-07 5.748598580504876709e-02
0.000000000000000000e+00 1.748673052288317423e-07 7.184370477522883380e-02
0.000000000000000000e+00 1.748673052288317423e-07 8.978741241968792031e-02
0.000000000000000000e+00 1.748673052288317423e-07 1.122127464646390793e-01
0.000000000000000000e+00 1.748673052288317423e-07 1.402390394132390916e-01
0.000000000000000000e+00 1.748673052288317423e-07 1.752651886276178905e-01
0.000000000000000000e+00 1.748673052288317423e-07 2.190394805412121115e-01
0.000000000000000000e+00 1.748673052288317423e-07 2.737468541896386776e-01
0.000000000000000000e+00 1.748673052288317423e-07 3.421179597101169367e-01
0.000000000000000000e+00 1.748673052288317423e-07 4.275654553280463510e-01
0.000000000000000000e+00 1.748673052288317423e-07 5.343543459243703664e-01
0.000000000000000000e+00 1.748673052288317423e-07 6.678148654202835655e-01
3.788282562495440438e-09 2.051416936449160328e-07 1.117926801369632724e-04
4.949910397365753223e-09 2.051416936449160328e-07 1.397140571795882510e-04
6.382116647229291173e-09 2.051416936449160328e-07 1.746090866563554530e-04
7.822650654955472238e-09 2.051416936449160328e-07 2.182195103229805076e-04
1.065267468832419018e-08 2.051416936449160328e-07 2.727220879364708039e-04
1.450579556342215803e-08 2.051416936449160328e-07 3.408372474960846919e-04
1.846239799103001171e-08 2.051416936449160328e-07 4.259648720046778597e-04
2.270072079942617779e-08 2.051416936449160328e-07 5.323540003768097682e-04
2.939888117114443887e-08 2.051416936449160328e-07 6.653149129022080041e-04
2.893286456264972974e-08 2.051416936449160328e-07 8.314841872452567988e-04
4.029250262939669449e-08 2.051416936449160328e-07 1.039155954919240626e-03
4.748587633965849729e-08 2.051416936449160328e-07 1.298695892487976636e-03
5.814879470337033004e-08 2.051416936449160328e-07 1.623058611347917091e-03
7.337894620391521546e-08 2.051416936449160328e-07 2.028434270954636732e-03
1.057329529140669188e-07 2.051416936449160328e-07 2.535056690384226725e-03
1.327096523750986775e-07 2.051416936449160328e-07 3.168213294107543893e-03
1.844483961641084965e-07 2.051416936449160328e-07 3.959507302157582939e-03
2.174587918114077455e-07 2.051416936449160328e-07 4.948435165333612412e-03
2.669469255864498328e-07 2.051416936449160328e-07 6.184357981147564805e-03
4.411936197295217843e-07 2.051416936449160328e-07 7.728965291274075139e-03
6.642654816329475640e-07 2.051416936449160328e-07 9.659354237872657539e-03
1.088981570645709023e-06 2.051416936449160328e-07 1.207187777101895176e-02
1.248855762372434517e-06 2.051416936449160328e-07 1.508695398570625290e-02
5.393777097408232783e-07 2.051416936449160328e-07 1.885507664045917367e-02
2.095767714278263768e-07 2.051416936449160328e-07 2.356432686507902927e-02
3.840321988191166050e-07 2.051416936449160328e-07 2.944976099501883313e-02
1.205795477998758533e-07 2.051416936449160328e-07 3.680514311439994635e-02
1.065615261178556872e-09 2.051416936449160328e-07 4.599760792288207223e-02
0.000000000000000000e+00 2.051416936449160328e-07 5.748598580504876709e-02
0.000000000000000000e+00 2.051416936449160328e-07 7.184370477522883380e-02
0.000000000000000000e+00 2.051416936449160328e-07 8.978741241968792031e-02
0.000000000000000000e+00 2.051416936449160328e-07 1.122127464646390793e-01
0.000000000000000000e+00 2.051416936449160328e-07 1.402390394132390916e-01
0.000000000000000000e+00 2.051416936449160328e-07 1.752651886276178905e-01
0.000000000000000000e+00 2.051416936449160328e-07 2.190394805412121115e-01
